"Grin2b-74988710","Vangl1-71670709"
"Cd109-73931384","Kcnj5-72119660"
"9030425E11Rik-71924353","B3gnt2-75988600"
"Csf2rb2-73992937","Filip1-73635796"
"Calcr-75080999","Otof-73788043"
"Fam84b-75081395","Tgfb1-80343319"
"AW046396-72340236","Palmd-74581442"
"Caml-79568047","Fzd9-73907498"
"Fxyd5-74819694","Hcrtr1-77868713"
"Stxbp2-75774667","Tinf2-77414587"
"Avil-72340234","Setd5-37"
"Ephb3-1492","P2rx2-75551473"
"1810031K17Rik-227165","AW046396-72340236"
"Atpaf1-77280419","Zfp385b-72128752"
"Folr2-1717","Smarca2-1972"
"Eif2d-323588","Terf2ip-112196711"
"Hspb6-74882616","Plk2-74743272"
"Kcne3-2337","Thpo-2671"
"Atp11a-75043137","Pttg1-293036"
"Setd7-71016630","Slc9a1-72080207"
"Eef1b2-75934526","Slc12a2-74882926"
"Pmp22-825","Syt13-1020"
"B3galt2-71064081","Mchr1-74724669"
"Golga7b-76097699","Slc26a10-74273116"
"Dmwd-2151","Gng11-1732"
"Jup-74425547","Slc26a8-2597"
"B4galt5-73635976","Magix-74581446"
"B3galt5-77280578","Msrb2-76135795"
"Fbxw2-355882","Syap1-1858"
"1110037F02Rik-74988462","Ankrd34c-72472747"
"Alk-77371829","LOC434236-73615572"
"Creb3l1-112197858","Krt73-74750042"
"Napb-75651234","Sox11-79912528"
"Fgfr3-448","Stra6-75041492"
"Nr1d2-1245","Pde1a-782"
"Atp11b-70744324","Wdr47-74819248"
"Gabra5-72077453","Otc-74581369"
"Ddit4l-71836878","Pde5a-73931641"
"Arsa-75749415","Sash1-71924225"
"Fdps-76085745","Pcsk1-72008494"
"P2rx3-75888751","Pomc-2493"
"Nr2f2-112646890","Ube2t-276069"
"Sap30l-73907495","Yme1l1-356849"
"Cbfa2t3-75038485","Gpr89-67881554"
"C130096N06Rik-73635978","Gng2-67936006"
"Ttll7-72128755","Xlr3a-75650861"
"Cacna1e-74988669","Ppapdc1a-74881927"
"Cyhr1-77414565","Susd4-75774678"
"Ampd3-77371807","Inpp5a-73994713"
"Emp1-77280421","Ptn-77866882"
"Mef2c-79567505","Pcp4-79912613"
"Cxcl12-79907936","Med23-112649261"
"Plekhb1-71836842","Satb1-927"
"Panx2-74581443","Plxna3-1403"
"Ndufb8-74743256","Tmem218-1960"
"Apln-67850953","Pacsin1-74047926"
"Gm22-74988274","Tnfaip3-75084101"
"Alk-77371829","Pgf-77869838"
"Cstf2-2131","Med8-112196048"
"Cd6-112205643","Slc7a6-293662"
"Hbb-b1-67936011","Odz3-79908833"
"C130096N06Rik-73635978","Clic5-77874610"
"Bnip3-75077193","Darc-74581383"
"Sulf1-75041501","Tgfb2-77869842"
"Ctla4-75079745","Sult1a1-75774114"
"Med23-112649261","Pgf-77869838"
"Spsb4-75773701","Sub1-356490"
"Dyrk1b-71717583","Prph-70232000"
"Elmo1-70743907","Pde3a-71717083"
"Cntnap4-70928361","Palm2-74581441"
"Col27a1-74272916","Pkia-805"
"Gdnf-112647321","Ramp1-1912"
"Hbb-b1-67936011","Rftn1-71920515"
"Pot1b-73925715","Xk-71670735"
"Kcnn2-77371815","Mylk3-73992942"
"Cd6-112205643","Mylk3-73992942"
"Apln-67850953","Arsa-75749415"
"Hdc-71016663","Il17rd-74958537"
"Mrc1-74581428","Npr1-71670678"
"Bsdc1-74988722","C130096N06Rik-73635978"
"Neurl1a-73769327","Rrad-75080239"
"Hspb1-74363357","Map3k5-73994720"
"Fam69c-73636086","Gabra5-72077453"
"Grk5-77371851","Spock1-72340122"
"Gng13-73615561","Ly6g6e-77280582"
"Grb7-112204995","Tbr1-79591351"
"Rpl23-74819237","Vps39-74047842"
"Grik4-75551478","Ttpal-74641323"
"Cacna1e-74988669","Csrp3-77332671"
"Dkk4-112647536","Emp1-77280421"
"Dnahc9-72472774","Map2k4-276073"
"Fbxo44-77340498","Hs6st2-72129255"
"Stk24-73635773","Ube2e3-75651166"
"B230362M20Rik-77340460","Fam69c-73636086"
"Blnk-74819692","Slc6a1-476"
"Kctd16-73636009","Mmgt1-77414585"
"2310042E22Rik-74357582","Ptcd1-74882764"
"Efr3a-79568028","Gucy1a3-77866848"
"Myo10-74743255","Optn-2452"
"Kctd16-73636009","Slc39a3-2619"
"Anxa1-70813897","Pot1b-73925715"
"Adssl1-72104185","Tac2-77279001"
"Ldb2-74641311","Nr2f1-720"
"Anxa1-70813897","Rxrg-917"
"Myb-1512","Plxna3-1403"
"Myb-1512","Tmem64-77414589"
"Hspa4l-75749390","Pip4k2a-75146004"
"P2rx7-75551477","Rasl11a-75988636"
"Anxa6-77332100","Polr1e-75774108"
"Hspb8-77866850","Pcdhb18-74581445"
"Ak1-77414110","Hnrnph2-112649906"
"Map2k4-276073","St6galnac5-73787946"
"Anxa1-70813897","Mtfp1-75774673"
"D830029A09Rik-72472778","Rftn1-71920515"
"Pgf-77869838","Slc6a2-73615562"
"Spsb4-75773701","Tmem204-73769320"
"Trim16-73931416","Wnt1-112644522"
"Jup-74425547","Ttll6-74363338"
"Bpgm-77414641","Ddx26b-75988610"
"Oxt-112648396","Rbbp6-170"
"Apln-67850953","Mchr1-74724669"
"BC057022-72077480","Wfs1-74881161"
"Ccr1-73718058","Oprm1-79912572"
"Acat2-77869798","B3galt5-77280578"
"Bace2-143","D830029A09Rik-72472778"
"Slc11a2-2571","Stc2-80343330"
"Chd7-71836884","Utp23-71924008"
"Fam69c-73636086","Magix-74581446"
"9430020K01Rik-75988537","Lrrc55-73931406"
"Acat2-77869798","Clic5-77874610"
"Hpcal1-74581395","Oit1-227164"
"B2m-71924291","Dtnbp1-75651202"
"LOC545854-73732153","Pcsk1-72008494"
"Chn1-73718053","Otof-73788043"
"Gpr98-72081561","Sh3d19-74425516"
"Decr1-74425550","Map3k5-73994720"
"Pde11a-75081007","Svil-77332748"
"Emp1-77280421","Igsf5-592"
"Nudt21-2115","Tdg-71020392"
"Calml3-79490064","Slc25a25-544516"
"Plekhb1-71836842","Rpl8-74749928"
"Napb-75651234","Pttg1-293036"
"Pvrl1-74363351","Rpf2-293465"
"Gjb6-2261","Ntrk1-71670679"
"Adamts18-75651128","Nin-76115736"
"1810031K17Rik-227165","Igsf5-592"
"Cd6-112205643","Slc18a2-79591703"
"Plxna3-1403","Susd2-75146000"
"Lrrc3-112649047","Ywhab-2737"
"Copg2-74819259","Ndrg2-79568051"
"Chrm4-79591641","Cyp4v3-74882196"
"Avil-72340234","Fgfr3-448"
"Rpl11-276067","Six1-1834"
"LOC381076-72338724","Serpina3k-72081514"
"Adamts19-73635973","Tinf2-77414587"
"Baalc-73520964","Vangl1-71670709"
"Etv1-73512203","Kctd16-73636009"
"Gsta4-77278951","Krt73-74750042"
"Med23-112649261","Pak6-75084501"
"Bpgm-77414641","Plxna3-1403"
"Gjb6-2261","Tspan6-74047839"
"Tfam-67936016","Ube2e3-75651166"
"9030425E11Rik-71924353","C030034I22Rik-72472751"
"Pak6-75084501","Pip4k2c-799"
"Col25a1-71924301","Ndrg2-79568051"
"Manea-74882656","Pkp2-73997149"
"LOC433088-71924504","Ttll6-74363338"
"Cd6-112205643","Grsf1-73994670"
"Ppp2r3d-77414925","Tnnt1-77280576"
"Nol4-76115737","Rbbp6-170"
"F13a1-74882565","Sema3a-937"
"Ndrg2-79568051","Tbl2-1868"
"Npffr2-70562070","Ppapdc1a-74881927"
"Pcdh7-73521003","Syt12-79556632"
"Lef1-77866900","Ttpal-74641323"
"Ddx19b-77414162","Dgki-74658043"
"Mansc1-53","Srp14-74750021"
"Mtpn-2411","Nell1-74357567"
"Rtn3-83161","Slc18a2-79591703"
"Aars-74641317","Sipa1l2-72118960"
"Flot1-67752111","Itga11-74882626"
