Gene1,Gene2
"Decr1-74425550","Sox10-79556652"
"Adora2a-72109410","Mtap1a-76115734"
"Rgnef-74272892","Slx1b-74819688"
"Alg14-75081004","Fzd9-73907498"
"C030046I01Rik-74881890","Pgrmc2-74882697"
"Syt4-2651","Tbl3-77413694"
"Ly6h-71924388","Pitrm1-74273117"
"Cdh13-77869863","Ntf5-1393"
"Decr1-74425550","Kcnj9-72119580"
"Mylk-74819252","Tnip2-74425540"
"Elmod1-71924269","Fam46a-73520967"
"Dkk4-112647536","Ier2-71836849"
"Rfx1-77371867","Strada-74819330"
"Apc-74881517","Tbl3-77413694"
"C030046I01Rik-74881890","Thbs2-73929578"
"Filip1l-74363347","Traip-77887842"
"Mef2c-79567505","Thbs2-73929578"
"Gnrh1-75080152","Ly6h-71924388"
"Mtap-79568030","Vti1a-74641238"
"Dlst-321200","Gpx2-74819652"
"Nxn-72007747","Pafah1b1-2460"
"Lzic-276064","Rprm-75651169"
"Epha1-74640882","Rasa4-74425552"
"Aldh1a1-72103809","Tspyl4-67936212"
"2610109H07Rik-74272038","Dlst-321200"
"Chat-252","Rgs2-73635771"
"9830001H06Rik-77340458","Slc6a4-79591679"
"Mef2c-79567505","Scube3-74988656"
"Col24a1-73636093","Thnsl1-74988343"
"Pck2-71836804","Tmem29-75080656"
"Mdk-1227","Sh3d19-74425516"
"Prpf6-67850946","Rprm-75651169"
"Rasa4-74425552","Sik3-74881867"
"Pgrmc2-74882697","Tmie-74957868"
"Bmp4-79556702","Tacr1-79591721"
"Fndc3b-74988759","Mafb-73771240"
"Decr1-74425550","Gpr123-71924056"
"Nr2f2-112646890","Smpd1-77413684"
"Ano6-77887878","Tmeff1-77395095"
"Fndc3b-74988759","Sprn-73512367"
"Dlst-321200","Scube3-74988656"
"Fam124a-72472790","Tspyl4-67936212"
"Gnrh1-75080152","Mmp14-74658084"
"Mtap-79568030","Tmem29-75080656"
"Ap2s1-71836889","Thbs2-73929578"
"Fryl-73512207","Sostdc1-77874602"
"Cdh9-72472764","Tmeff1-77395095"
"C030046I01Rik-74881890","Slx1b-74819688"
"Gpr123-71924056","Tbl3-77413694"
"Ano6-77887878","Hapln1-77332706"
"Mtap1a-76115734","Tbl3-77413694"
"Bmp3-72472749","Tbl3-77413694"
"Elmod1-71924269","Pgrmc2-74882697"
"Insrr-71670480","Vti1a-74641238"
"Fam124a-72472790","Mtap-79568030"
"Cdh9-72472764","Hapln1-77332706"
"Mmp14-74658084","Tmeff1-77395095"
"Fzd9-73907498","Kcnj9-72119580"
"Mcl1-112647104","Pcdhb2-74743271"
"Epha1-74640882","Sh3d19-74425516"
"Mylk-74819252","Pou2f1-1563"
"Slc43a2-74425544","Spint2-74047774"
"Gpnmb-74581367","LOC545810-71924492"
"Cyr61-80343407","Fzd9-73907498"
"Ampd3-77371807","Ppp1r1a-75773706"
"Cyr61-80343407","Slc6a4-79591679"
"Decr1-74425550","Syt4-2651"
"Apc-74881517","Matk-76135823"
"0610010F05Rik-74957923","Col9a2-74750022"
"Cadm2-73635999","Hapln1-77332706"
