gene1,gene2
"Eif2d-323588","Strada-74819330"
"Stac-73788116","Tomm70a-320"
"Mageh1-17","Pdzrn3-71836787"
"Slc16a4-2579","Wnt3-2731"
"Aplnr-1661","Fabp3-418"
"Calcrl-74988670","Klhl4-76115731"
"Cspg5-73931385","Stx1a-2645"
"Tmem106b-71920509","Ubr3-74988721"
"Itgav-74658082","Npr1-71670678"
"Mageh1-17","Smpd4-75651226"
"Pitx1-199398","Sox2-77280331"
"Crispld1-72077456","Tdrd3-77887882"
"B3gnt1-77332102","Csdc2-70634234"
"Eif2d-323588","Smpd4-75651226"
"App-79591705","B3gnt1-77332102"
"Rbm18-356083","Wnt3-2731"
"Atp10a-72128790","Papola-1251"
"Scd1-71836746","Zfp790-356855"
"C130018E23Rik*-75144623","Fam114a2-79583813"
"Golga7b-76097699","Zfp790-356855"
"Mrap2-71924480","Strn-73521824"
"Arhgap25-72128789","Bsg-166"
"Col18a1-287","Fgfr4-1581"
"Atp5s-323589","Tmem126a-77414913"
"Dkk1-2149","Flrt3-73931404"
"1500032L24Rik-75651168","Tdrd3-77887882"
"2610017I09Rik-77280584","Rnf144b-71836839"
"Il17rb-2317","Slc18a1-2583"
"Clstn2-73636091","Zfyve9-73521827"
"LOC436099-73512350","Nhlh2-74657929"
"Agpat3-85","B4galt3-357099"
"Cpe-1691","Eps8l1-1707"
"Edc3-77414911","Pnrc1-2501"
"Ralyl-72129250","Uqcrb-323595"
"Gmps-1361","Lrp5-653"
