Gene1,Gene2
"Cuedc2-79556640","Nog-75084476",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Apc-74881517","Bmp3-72472749",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Serinc1-77413696","Tex261-74047919",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ampd3-77371807","Smpd1-77413684",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Rgag1-75041526","Slc6a11-72472802",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Csrp2bp-276275","Sap30l-73907495",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ampd3-77371807","Nr2f2-112646890",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gabra4-71924402","Smpd1-77413684",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Nnat-77887874","Tspyl4-67936212",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Gpr146-77371845","Syt4-2651",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ap2b1-96","Arx-118",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Alg14-75081004","Kcnj9-72119580",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Fbxl5-422","Pdxk-788",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Rfx4-71249068","Syt4-2651",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Cdk5r1-247","Fbln7-73929875",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Epha1-74640882","Syt4-2651",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Alg14-75081004","Epha1-74640882",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Nrm-75042265","Wwox-72077451",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Lpl-649","Ywhah-1127",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Rasa4-74425552","Sap30l-73907495",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Col4a6-72103841","Rdh5-75042255",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Slx1b-74819688","Tob2-77340500",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ppap2b-75749384","Slc6a20b-77371783",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Aldh1a1-72103809","Ampd3-77371807",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"F2rl1-199391","Ly6h-71924388",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ltk-75988666","Rasa4-74425552",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
"Ppp1r1a-75773706","Shb-71670695",[939]_DEN_cleanedPairs90,[773]_DEN_cleanedPairs90
