Gene1,Gene2
"Lct-73931621","Pak6-75084501",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grin2b-74988710","Ltk-75988666",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Atp11b-70744324","Zfand2b-71836831",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mtpn-2411","P2ry14-76135748",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dlx2-1482","Pot1b-73925715",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arf1-199390","Nup93-75774679",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"BC005537-321201","Pak6-75084501",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Epha4-2187","Nkain4-112648182",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Lgi3-73520996","Pot1b-73925715",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Filip1-73635796","Lgi3-73520996",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Accn4-71924089","Bend6-77280313",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Alg14-75081004","Six1-1834",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ankrd34c-72472747","P2rx3-75888751",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434300-75988611","Zim2-76135811",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"F2r-1711","Txn2-71670705",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grsf1-73994670","Slc6a2-73615562",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Anxa1-70813897","Pot1b-73925715",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Stxbp2-75774667","Zim2-76135811",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dkk4-112647536","Odz3-79908833",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"C1qtnf5-293664","Csf2rb2-73992937",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bsdc1-74988722","Lims2-75145999",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ltk-75988666","Slc26a8-2597",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Clk2-356286","Rps4y2-75934917",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Gmps-1361","Hnrnph2-112649906",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grsf1-73994670","Rcsd1-75934525",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arpp21-79567762","Wnt7b-79567815",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mri1-75773703","Stk24-73635773",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kank4-76085741","Lamc1-77868319",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mri1-75773703","Sh2b3-80517009",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kcnh8-70562113","Lef1-77866900",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Gpr89-67881554","Pak1-73521001",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
