Gene1,Gene2
"Bcl7b-1601","Thpo-2671",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gnat1-2265","Lphn2-1768",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Stc1-2639","Tsc22d1-1051",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Aldh1l1-1724","Tspo-79556668",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dpysl5-73635770","Rarres1-75084131",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Bcl6-75651139","Gpr89-67881554",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dok4-1486","Palmd-74581442",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Slco1a5-67850945","Traip-77887842",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Gpr151-74724649","Kcng1-77340480",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Pitrm1-74273117","Sox9-1422",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Sox2-77280331","Ybx2-75080250",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Chrna4-1173","Sfn-2561",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Ccng1-324210","Psap-846",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Dnajb12-2153","Svil-77332748",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Lzic-276064","Prpf6-67850946",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Apba2-2031","Spata13-73997152",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"Limk1-640","Reep5-2159",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
"2610019F03Rik-74724511","Cnih2-2109",[939]_DEN_cleanedPairs90,[1098]_DEN_cleanedPairs90
