Gene1,Gene2
"Bpgm-77414641","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Copg2-74819259","Stat5a-77413690",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Acan-77869840","Slco1a5-67850945",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grik3-75749418","Rgs2-73635771",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Gm261-73636032",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ero1lb-72340145","Yme1l1-356849",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","Gpr151-74724649",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Acan-77869840","Chat-252",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dbi-71836880","Gnal-71670716",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Terf2ip-112196711","Zfp790-356855",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Psmd4-2503","Sfn-2561",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myo10-74743255","Satb1-927",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdh13-77869863","Ero1lb-72340145",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc22a3-73931644","Traip-77887842",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lims2-75145999","Susd2-75146000",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Myc-112194721","Pip4k2c-799",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Yme1l1-356849","Zfand3-77414923",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Slc16a4-2579","Trim28-1071",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","Grik3-75749418",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ccdc85a-75081006","Dpysl5-73635770",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Atp2a2-74881549","Atp6v0c-74881559",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gdf1-75081205","Traip-77887842",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ppapdc1a-74881927","Susd4-75774678",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
