Gene1,Gene2
"Cep72-74988742","Meis3-74047845"
"9430020K01Rik-75988537","Eps8l2-74658244"
"Chrm4-79591641","Rps4y2-75934917"
"Pip4k2c-799","Zfp280c-1669"
"Camk4-75038464","Cd44-224"
"LOC545352-74988758","Oxt-112648396"
"Klc2-618","Reep5-2159"
"Egr4-74800827","Satb1-927"
"Hkdc1-70634299","Zim2-76135811"
"Cst3-69120555","Zfp790-356855"
"Coro1c-75651191","Susd2-75146000"
"Dnajc12-73718054","Hbb-b1-67936011"
"Crhr1-297","Ldhd-74425554"
"Chat-252","Satb1-927"
"Iyd-71015205","Tmem33-356284"
"Bpgm-77414641","Coro1c-75651191"
"Egr4-74800827","Ybx2-75080250"
"Hebp1-74988456","Pnrc1-2501"
"Alpk2-74988275","LOC433254-72108822"
"Mylk3-73992942","Nmb-71836874"
"Col14a1-74658056","Itga3-598"
"Camk4-75038464","E130012A19Rik-74363349"
"Fhdc1-73925717","Grik3-75749418"
"Dnajc12-73718054","Slc4a10-1922"
"Lrmp-74274684","Mm.86217-74641161"
"Prkch-73520406","Srsf9-75043152"
"Gpr151-74724649","Lhx2-79568024"
"Ccdc37-74581372","Dusp6-75650864"
"Iyd-71015205","Rps5-77868800"
"Filip1l-74363347","Zfp280c-1669"
"Filip1l-74363347","Pcnt-1255"
"Hkdc1-70634299","LOC434300-75988611"
"Mm.86217-74641161","Rassf4-74988636"
"Cct2-356082","Slc6a3-978"
"Kcnc4-1756","Loxl1-70805934"
"LOC434300-75988611","Susd2-75146000"
"Lhx2-79568024","Tyr-79591699"
"Cd44-224","Slc16a4-2579"
"Dcn-329","Magix-74581446"
"Bdnf-79587720","Fam46a-75042237"
"Il17rd-112647967","Nrip1-739"
"Gm261-73636032","Hook3-1197"
"C2cd2-1986","Dkk4-112647536"
"Pth1r-112202195","Six3os1-75041431"
"Aacs-74988454","Cyb5r1-74988452"
"Copa-1689","Gdf1-75081205"
"LOC545352-74988758","Rapgef4-74749895"
"Mlx-77414147","Synpr-1862"
