gene1,gene2
"Npr1-71670678","Pttg1-293036"
"Adamts16-276267","Slc29a1-1838"
"Dok2-2155","Stx1a-2645"
"Kcne3-77371863","Scn4b-73636111"
"Hoxb13-2299","Trpc4-1305"
"Ndufs8-74819243","Zfp790-356855"
"Chst1-71836872","Sacm1l-74882832"
"6330503K22Rik-77280311","Glul-74988768"
"Ntf5-1393","Pogk-71064277"
"Pogk-71064277","Sacm1l-74882832"
"Slc16a4-2579","Ywhaq-1130"
"Homer3-356087","Irx2-1752"
"B4galt3-357099","Sbf1-276264"
"Cpe-1691","Stac-73788116"
"Copg2-74819259","Pdzrn3-71836787"
"Frrs1-2557","Kcnc1-72108825"
"Efna1-1347","Kifc2-614"
"Map2k6-73817433","Top1-74957897"
"Hint1-73520984","Sdccag3-2075"
"Cd164-75749771","Ncam2-682"
"Cttn-70616018","Tmem106b-71920509"
"1500032L24Rik-75651168","Mageh1-17"
"Flrt3-73931404","Slc31a1-2603"
"Nacc2-74641266","Uqcrb-323595"
"Ms4a6b-293474","Myo5c-75042249"
"Aqp2-112195601","Pole4-75651230"
"Prl2c2-75077152","Tsc22d1-1051"
"Strn-73521824","Uqcrb-323595"
"LOC545854-73732153","Tomm20-74819230"
"LOC545854-73732153","Tdrd3-77887882"
"Bcan-154","Ywhaz-1133"
"Mrpl39-673","Ntrk1-71670679"
"Npr1-71670678","Pdzd2-74988286"
"Ndufs8-74819243","Pdzrn3-71836787"
"Chrm3-2095","Plxnb2-1263"
"Flrt3-73931404","Stx1a-2645"
"Fem1a-2212","Papola-1251"
"Arhgap25-72128789","Mrap2-71924480"
"Fzd1-2239","Sfpi1-227535"
"Scd1-71836746","Tomm20-74819230"
"Gfap-1357","Olfml2b-1980"
"Bsg-166","Rab3ip-71717136"
"Tdrd3-77887882","Vps35-77869144"
"Acot13-75042252","Bsg-166"
"Irak1-2323","Tgfb3-2667"
"Slc29a1-1838","Trpc4-1305"
"C2cd2-1986","D830030K20Rik-73930807"
"Pitx1-199398","Sox2-77280331"
"Otx2-112194935","Tomm20-74819230"
"Psap-846","Spns2-73512500"
"Pax9-2466","Wnt8b-1890"
"Gckr-74274683","Pxn-1814"
"Rfx1-77371867","Tnfaip8-75038412"
"Otp-2454","Slc16a4-2579"
"Kifc2-614","Psap-846"
"Olig2-2448","Slc35a2-2607"
"Cnih2-2109","Hoxb13-2299"
"Gmps-1361","Spns2-73512500"
"Arl5a-74274688","ORF63-1247"
"Efna1-1347","Il17rb-2317"
"Yars-1122","Ywhae-2739"
"Cx3cl1-2135","Plxnb2-1263"
"Apln-67850953","LOC433093-71924514"
"C130018E23Rik*-75144623","Sall3-74363352"
"Rbm18-356083","Tsc22d1-1051"
"Matn4-77371795","Nhlh2-74657929"
"Fem1a-2212","Plxnb2-1263"
"Mmgt1-77414585","Tomm20-74819230"
"Ccdc137-1978","Slc12a3-2573"
"Cr1l-2125","Pycrl-2515"
"Grin1-1585","Pax9-2466"
"Cdk14-71670684","Rasal2-75147758"
"Rab3c-73521805","Zfp790-356855"
"Cer1-2091","Ctnnb1-79591729"
"Palm3-74958547","Zfp790-356855"
"Leprel4-2547","Sbf1-276264"
"Fgf12-424","Nbr1-1235"
"Crabp1-1179","Cytip-1270"
"Hpse-77340468","Rab3ip-71717136"
"Atp10a-72128790","Bcan-154"
"Mrap2-71924480","Usp48-149"
"Cnih2-2109","Slc29a1-1838"
"Crispld1-72077456","Pdcl-324213"
"Npr1-71670678","Sox11-79912528"
"Nhlh2-74657929","Pitx1-199398"
"Bmp7-2065","Gmfb-1726"
"Olig2-2448","Syt12-1291"
"Fem1a-2212","Gckr-74274683"
"Fam135b-74581399","Iqcj-74272918"
"Cdh13-77869863","Rasal2-75147758"
"Ephb1-72077478","Pdzrn3-71836787"
"Strada-74819330","Zfp790-356855"
"Gnat1-2265","Ms4a6b-293474"
"Strn-73521824","Top1-74957897"
"Stat5a-77413690","Tnfaip8-75038412"
"Aph1a-1990","Gata2-100"
"Acot13-75042252","Papola-1251"
"Heatr7a-73992940","Wnt3-2731"
"C2cd2-1986","Slc16a4-2579"
"Nfix-77413698","Pogk-71064277"
"Cnih2-2109","Leprel4-2547"
"Resp18-71015810","Tnfrsf21-71836885"
"Hrh3-73636034","Npr1-71670678"
"2310042E22Rik-74357582","Mex3d-75041562"
"Gabrb2-472","Slc20a1-1571"
"P2rx3-75888751","Rasal2-75147758"
"Negr1-692","Prl2c2-75077152"
"Rasal2-75147758","Tmem64-77414589"
"1500032L24Rik-75651168","Stoml2-74581379"
"Nfix-77413698","Npr1-71670678"
"Mfn2-74882657","Slc9a6-76115744"
"Ccdc137-1978","Spns2-73512500"
"Bai3-71247597","Itga11-74882626"
"Npr1-71670678","Strada-74819330"
"Rxfp3-71358555","Sfpi1-227535"
"Hrh3-73636034","Pogk-71064277"
"Slc16a4-2579","Slc31a1-2603"
"Cx3cl1-2135","Strn-73521824"
"Fgfr4-1581","Thpo-2671"
"Chst1-71836872","Tnfaip8-75038412"
"Galr2-80517343","Rab3c-73521805"
"Syt3-1026","Yars-1122"
"Fgfr4-1581","Gli3-1615"
"Pdzrn3-71836787","Sacm1l-74882832"
"Kcnab2-1754","Ldlr-1766"
"LOC545854-73732153","Npr1-71670678"
"Itgav-74658082","Zfp790-356855"
"Pogk-71064277","Slc39a3-2619"
"Pdzrn3-71836787","Sema4g-71587856"
"Grin1-1585","Ptprv-73817436"
"Ralyl-72129250","Usp48-149"
"Gmps-1361","Mapre2-659"
"Grk5-77371851","Tomm20-74819230"
"Bad-74881790","Cyb5-75043146"
"Tdrd3-77887882","Terf2ip-112196711"
"Bad-74881790","Marcksl1-670"
"Bcan-154","Plxnb2-1263"
"Npr1-71670678","Stat5a-77413690"
"Bcan-154","Strn-73521824"
"B4galt3-357099","Hoxb13-2299"
"Smpd4-75651226","Tdrd3-77887882"
"Smarca2-1972","Tomm20-74819230"
"Cx3cl1-2135","Ywhaz-1133"
"Eif2d-323588","F11r-75773698"
"Hdc-71016663","Tdrd3-77887882"
"Rasal2-75147758","Thsd7a-71924155"
"Pdzrn3-71836787","Zfp790-356855"
"Cspg5-73931385","D830030K20Rik-73930807"
"Acyp2-73930820","Dok2-2155"
"Gckr-74274683","Plxnb2-1263"
"Il17rb-2317","Leprotl1-2373"
"Col12a1-73817431","D830030K20Rik-73930807"
"Fam19a4-72472752","Med23-112649261"
"Cd1d1-219","Sept5-958"
"C2cd2-1986","Negr1-692"
"Rnf144b-71836839","Tbp-67850950"
"Ctnnb1-79591729","Fbxo9-74800954"
"Gli3-1615","Mocs1-323590"
"2310046A06Rik-73931408","Frrs1-2557"
"Capzb-75080633","Purb-75080632"
"Leprotl1-2373","Pvr-119504"
"B3gnt1-77332102","Rtn4-70805906"
"Npr1-71670678","Smarca2-1972"
"Fbxo2-2210","Ntng1-71924185"
"Cd8b1-73732149","Chrm2-70560343"
"Plxnb2-1263","Pxn-1814"
"Arhgef2-2043","Trap1-1966"
"Fem1a-2212","Mrap2-71924480"
"Prkar2a-77332735","Taok1-74819235"
"Epn3-74357584","Pdgfa-1516"
"Cyb5-75043146","Prkar2a-77332735"
"Pkp2-73997149","Zfp790-356855"
"Ntrk1-71670679","Rasal2-75147758"
"Edc3-77414911","Slc35b2-2613"
"Kctd16-73636009","Rasal2-75147758"
"Ankrd34c-72472747","Pdzrn3-71836787"
"Slc2a4-2599","Zfp788-1466"
"F11r-75773698","Pdcl-324213"
"Gpr18-71015809","Pogk-71064277"
"Npr1-71670678","Zfand3-77414923"
"Mef2d-67810540","Rbm18-356083"
"Dok2-2155","Pvr-119504"
"Nfix-77413698","Tdrd3-77887882"
"Rasal2-75147758","Tnfaip8-75038412"
"Mrap2-71924480","Nacc2-74641266"
"LOC436099-73512350","Nhlh2-74657929"
"Olfml2b-1980","Pmaip1-823"
"Epha4-2187","Kcne3-2337"
"Pla2g16-112650769","Tomm20-74819230"
"Eif2d-323588","Tmem64-77414589"
"Mrpl39-673","Rasal2-75147758"
"Olfml2b-1980","Slc35a2-2607"
"Col18a1-287","Syt6-1032"
"Eif5a-2183","Olig2-2448"
"B3gat1-73818755","Marcksl1-670"
"Nacc2-74641266","Wnt7a-1936"
"Arhgap25-72128789","Nrsn1-71358557"
"S1pr5-112651200","Zfp790-356855"
"Dicer1-74988272","Olfml3-77280333"
"Gnat1-2265","Lrp5-653"
"Elk1-2185","Scn4b-73636111"
"Agap3-2089","Gckr-74274683"
"Efna1-1347","Spns2-73512500"
"Arhgap25-72128789","Atp10a-72128790"
"Stxbp1-1009","Txnip-1084"
"Kcnj16-2341","Rela-2523"
"Il17rb-2317","Rfx1-895"
"Edc3-77414911","Pnrc1-2501"
"Col25a1-71924301","Pogk-71064277"
"Gnat1-2265","Spns2-73512500"
"Gata2-100","Gmps-1361"
"Acot7-145","Rab3ip-71717136"
"Acot13-75042252","Mrap2-71924480"
"Negr1-692","Rbm18-356083"
"Dok2-2155","Negr1-692"
"Csrp3-77332671","Nhlh2-74657929"
"Strn-73521824","Usp48-149"
"Agap3-2089","Plxnb2-1263"
"Cmtm4-2101","Grin1-1585"
"Rbm18-356083","Slc25a5-2591"
"Acot7-145","Chrm3-2095"
"Hist1h2bc-560","Pmaip1-823"
"Slc9a6-76115744","Ssbp4-73817987"
"Irx2-1752","Pvr-119504"
"Nacc2-74641266","Prdx3-70743842"
"1500002O20Rik-1954","Hist1h2bc-560"
"Grk5-77371851","Zfp790-356855"
"Mrap2-71924480","Pdgfa-1516"
"Lrrn3-75041464","Ngfrap1-1786"
"Eif2ak3-2181","Lrp5-653"
"Cspg5-73931385","Wnt3-2731"
"Eef1b2-75934526","Tmem64-77414589"
"Pbx3-76085744","Pogk-71064277"
"Nudt21-2115","Syt13-1020"
"Arhgap25-72128789","Ywhaz-1133"
"Eif5a-2183","Slc35a2-2607"
"Pgrmc1-2478","Pvr-71670694"
"Irx2-1752","Negr1-692"
"Ppm1g-2499","Stac-73788116"
"Ralyl-72129250","Strn-73521824"
"Atp10a-72128790","Epn3-74357584"
"C2cd2-1986","Dkk1-2149"
"Nacc2-74641266","Usp16-1886"
"Rab3c-73521805","Tdrd3-77887882"
"Cd1d1-219","Gtf3c2-7"
"Hspa4l-75749390","Ywhaq-1130"
"Eps8l2-74658244","Pdcl-324213"
"Ldlrap1-2010","Slc29a1-1838"
"Npr1-71670678","Rasgrp1-76115742"
"Ptprv-73817436","Stard7-74800953"
"Epn3-74357584","Top1-74957897"
"Arid5a-75042267","Tmem206-75774106"
"Mansc1-53","Psmd4-2503"
"Dkk1-2149","Trim28-1071"
"Psg16-655307","Rtn4-70805906"
"Atp10a-72128790","Mrap2-71924480"
"Isyna1-75145997","Klhl4-76115731"
